window,NewsScore,StockPrice_COG,StockPrice_DVN,StockPrice_HFC
"Row(start=datetime.datetime(2016, 3, 30, 20, 0), end=datetime.datetime(2016, 4, 10, 20, 0))","[0.23850909090909092, 0.2385090909090909, 0.4082222222222222, 0.4082222222222222, 0.6362, 0.6362, 0.3410333333333333, 0.3410333333333333, 0.42273333333333335, 0.42273333333333335, 0.416475, 0.416475, 0.22939333333333334, 0.22939333333333334, 0.021214285714285713, 0.02121428571428571, 0.22295714285714283, 0.22295714285714283, -0.2792, -0.2792, 0.664325, 0.664325]","[0.3310344283277012, 0.3103442832770117, 0.0, 0.17241392918074708, 0.18620709613176337, 0.20000026308277719, 0.21379343003379347, 0.2275865969848073, 0.24137976393582358, 0.30344888367400363, 0.11034480944256705, 0.04137897468749054, 0.06206911973818002, 0.06206911973818002, 0.02758554465369756, 0.6965524317398848, 1.0, 0.8413795008530459, 0.8427588438564247, 0.8441381868598036, 0.8455175298631847, 0.8468968728665636]","[0.12231500252757865, 0.5459427526776289, 0.23269655650702986, 0.29832938548543975, 0.3048925545796512, 0.3114557236738637, 0.31801889276807516, 0.3245820618622877, 0.33114523095649917, 0.1312645199205287, 0.0, 0.23269655650702986, 0.38186124924974973, 0.5817419602857202, 0.5220764245995195, 0.5936754088338476, 0.8920047943192874, 0.9427208126125379, 0.9570406094594041, 0.971360406306269, 0.985680203153135, 1.0]","[0.31865551106792966, 0.8342984270004616, 0.3534187743280956, 0.18539965044454704, 0.14831972035563928, 0.1112397902667274, 0.07415986017781964, 0.03707993008890776, 0.0, 0.38817982745009255, 0.26651172124676525, 0.04634880754205226, 0.09849259736321668, 0.110080351783272, 0.06373154424121973, 0.2317484579865993, 0.4634991261113676, 0.8285056548595185, 0.8713792411446378, 0.9142528274297572, 0.9571264137148806, 1.0]"
"Row(start=datetime.datetime(2016, 3, 31, 20, 0), end=datetime.datetime(2016, 4, 11, 20, 0))","[0.4082222222222222, 0.4082222222222222, 0.6362, 0.6362, 0.3410333333333333, 0.3410333333333333, 0.42273333333333335, 0.42273333333333335, 0.416475, 0.416475, 0.22939333333333334, 0.22939333333333334, 0.021214285714285713, 0.02121428571428571, 0.22295714285714283, 0.22295714285714283, -0.2792, -0.2792, 0.664325, 0.664325, 0.42067499999999997, 0.42067499999999997]","[0.0, 0.17241392918074708, 0.18620709613176337, 0.20000026308277719, 0.21379343003379347, 0.2275865969848073, 0.24137976393582358, 0.30344888367400363, 0.11034480944256705, 0.04137897468749054, 0.06206911973818002, 0.06206911973818002, 0.02758554465369756, 0.6965524317398848, 1.0, 0.8413795008530459, 0.8427588438564247, 0.8441381868598036, 0.8455175298631847, 0.8468968728665636, 0.8482762158699424, 0.4482759527871647]","[0.2267439217099609, 0.2906977904687976, 0.2970930664522743, 0.3034883424357519, 0.3098836184192285, 0.3162788944027062, 0.3226741703861828, 0.12790662859360705, 0.0, 0.2267439217099609, 0.37209281694435975, 0.5668603587369355, 0.5087211333203959, 0.5784885364974633, 0.869186326966261, 0.9186049735244379, 0.9325584541598518, 0.9465119347952647, 0.9604654154306785, 0.9744188960660914, 0.9883723767015054, 1.0]","[0.3388893716131302, 0.17777768358768192, 0.14222214687014711, 0.10666661015260837, 0.07111107343507356, 0.0355555367175348, 0.0, 0.3722213627375975, 0.25555515524764816, 0.044443361258342, 0.09444346722219986, 0.10555483735607459, 0.061111476097732584, 0.22222104484602392, 0.4444442089692048, 0.7944449507162097, 0.835555960572967, 0.8766669704297243, 0.9177779802864855, 0.9588889901432427, 1.0, 0.4111100985675806]"
"Row(start=datetime.datetime(2016, 4, 1, 20, 0), end=datetime.datetime(2016, 4, 12, 20, 0))","[0.6362, 0.6362, 0.3410333333333333, 0.3410333333333333, 0.42273333333333335, 0.42273333333333335, 0.416475, 0.416475, 0.22939333333333334, 0.22939333333333334, 0.021214285714285713, 0.02121428571428571, 0.22295714285714283, 0.22295714285714283, -0.2792, -0.2792, 0.664325, 0.664325, 0.42067499999999997, 0.42067499999999997, 0.41238461538461546, 0.41238461538461535]","[0.15436295907525793, 0.16778581395051093, 0.1812086688257663, 0.19463152370101927, 0.20805437857627465, 0.2684570975050884, 0.08053738527118882, 0.01342311089491673, 0.03355777723729182, 0.03355777723729182, 0.0, 0.6510067973220344, 0.946307556420333, 0.7919456214237254, 0.7932879325132165, 0.7946302436027077, 0.7959725546922013, 0.7973148657816925, 0.7986571768711838, 0.4093959216067794, 0.5570463011559288, 1.0]","[0.1910280433806068, 0.19514014560026252, 0.19925224781991757, 0.20336435003957332, 0.20747645225922837, 0.0822427574208361, 0.0, 0.14579420593666886, 0.23925217651714475, 0.364485871355537, 0.32710289703166556, 0.3719626801286302, 0.558878621289582, 0.5906543455474983, 0.5996263021668915, 0.608598258786284, 0.6175702154056772, 0.6265421720250698, 0.635514128644463, 0.6429905809036913, 0.7813086910949967, 1.0]","[0.14222214687014711, 0.10666661015260837, 0.07111107343507356, 0.0355555367175348, 0.0, 0.3722213627375975, 0.25555515524764816, 0.044443361258342, 0.09444346722219986, 0.10555483735607459, 0.061111476097732584, 0.22222104484602392, 0.4444442089692048, 0.7944449507162097, 0.835555960572967, 0.8766669704297243, 0.9177779802864855, 0.9588889901432427, 1.0, 0.4111100985675806, 0.43888746426368896, 0.7999995761445686]"
"Row(start=datetime.datetime(2016, 4, 2, 20, 0), end=datetime.datetime(2016, 4, 13, 20, 0))","[0.3410333333333333, 0.3410333333333333, 0.42273333333333335, 0.42273333333333335, 0.416475, 0.416475, 0.22939333333333334, 0.22939333333333334, 0.021214285714285713, 0.02121428571428571, 0.22295714285714283, 0.22295714285714283, -0.2792, -0.2792, 0.664325, 0.664325, 0.42067499999999997, 0.42067499999999997, 0.41238461538461546, 0.41238461538461535, 0.14791666666666667, 0.14791666666666667]","[0.1812086688257663, 0.19463152370101927, 0.20805437857627465, 0.2684570975050884, 0.08053738527118882, 0.01342311089491673, 0.03355777723729182, 0.03355777723729182, 0.0, 0.6510067973220344, 0.946307556420333, 0.7919456214237254, 0.7932879325132165, 0.7946302436027077, 0.7959725546922013, 0.7973148657816925, 0.7986571768711838, 0.4093959216067794, 0.5570463011559288, 1.0, 0.9932884445525416, 0.6040271892881374]","[0.19925224781991757, 0.20336435003957332, 0.20747645225922837, 0.0822427574208361, 0.0, 0.14579420593666886, 0.23925217651714475, 0.364485871355537, 0.32710289703166556, 0.3719626801286302, 0.558878621289582, 0.5906543455474983, 0.5996263021668915, 0.608598258786284, 0.6175702154056772, 0.6265421720250698, 0.635514128644463, 0.6429905809036913, 0.7813086910949967, 1.0, 0.9626170256761285, 1.0]","[0.06243898808139334, 0.031219494040694934, 0.0, 0.3268284967295937, 0.22438988081392644, 0.039023437136556906, 0.0829259669330753, 0.09268229142437127, 0.05365885428781436, 0.1951209073400385, 0.39024367550870404, 0.6975613840843328, 0.7336588542878136, 0.7697563244912946, 0.805853794694779, 0.8419512648982599, 0.8780487351017408, 0.36097470203481613, 0.38536458284874253, 0.7024386159156673, 0.829268973473888, 1.0]"
"Row(start=datetime.datetime(2016, 4, 3, 20, 0), end=datetime.datetime(2016, 4, 14, 20, 0))","[0.42273333333333335, 0.42273333333333335, 0.416475, 0.416475, 0.22939333333333334, 0.22939333333333334, 0.021214285714285713, 0.02121428571428571, 0.22295714285714283, 0.22295714285714283, -0.2792, -0.2792, 0.664325, 0.664325, 0.42067499999999997, 0.42067499999999997, 0.41238461538461546, 0.41238461538461535, 0.14791666666666667, 0.14791666666666667, 0.3383333333333334, 0.3383333333333334]","[0.20805437857627465, 0.2684570975050884, 0.08053738527118882, 0.01342311089491673, 0.03355777723729182, 0.03355777723729182, 0.0, 0.6510067973220344, 0.946307556420333, 0.7919456214237254, 0.7932879325132165, 0.7946302436027077, 0.7959725546922013, 0.7973148657816925, 0.7986571768711838, 0.4093959216067794, 0.5570463011559288, 1.0, 0.9932884445525416, 0.6040271892881374, 0.5637578566033872, 0.3422816472305073]","[0.19337957269407688, 0.07665481607210442, 0.0, 0.13588829449464065, 0.222996311905345, 0.3397210685273174, 0.3048780609374652, 0.3466898694197174, 0.520905904241126, 0.5505226434523942, 0.5588850051488449, 0.567247366845295, 0.5756097285417456, 0.5839720902381957, 0.5923344519346464, 0.5993029205363305, 0.7282230787200029, 0.9320555204619638, 0.8972125128721116, 0.9320555204619638, 0.9703832607887319, 1.0]","[0.0, 0.3073385665839566, 0.2110087248063779, 0.036696332641554995, 0.07798080052635815, 0.08715532115196842, 0.05045898851041342, 0.1834851629295471, 0.36697207571998025, 0.6559633509136024, 0.6899082022979167, 0.723853053682231, 0.7577979050665485, 0.7917427564508628, 0.8256876078351771, 0.33944851384314945, 0.3623839404767321, 0.6605497362959645, 0.7798167545680118, 0.9403664908639763, 1.0, 0.71559511018874]"
"Row(start=datetime.datetime(2016, 4, 4, 20, 0), end=datetime.datetime(2016, 4, 15, 20, 0))","[0.416475, 0.416475, 0.22939333333333334, 0.22939333333333334, 0.021214285714285713, 0.02121428571428571, 0.22295714285714283, 0.22295714285714283, -0.2792, -0.2792, 0.664325, 0.664325, 0.42067499999999997, 0.42067499999999997, 0.41238461538461546, 0.41238461538461535, 0.14791666666666667, 0.14791666666666667, 0.3383333333333334, 0.3383333333333334, 0.37639230769230764, 0.37639230769230775]","[0.08053738527118882, 0.01342311089491673, 0.03355777723729182, 0.03355777723729182, 0.0, 0.6510067973220344, 0.946307556420333, 0.7919456214237254, 0.7932879325132165, 0.7946302436027077, 0.7959725546922013, 0.7973148657816925, 0.7986571768711838, 0.4093959216067794, 0.5570463011559288, 1.0, 0.9932884445525416, 0.6040271892881374, 0.5637578566033872, 0.3422816472305073, 0.2013428231288163, 0.4899333068779682]","[0.0, 0.1347148381536994, 0.22107063878401398, 0.336787424805485, 0.3022453022061011, 0.3436960469781037, 0.5164076482387329, 0.5457686336298894, 0.5540587825842901, 0.5623489315386903, 0.570639080493091, 0.5789292294474911, 0.587219378401892, 0.5941276711532741, 0.7219345459768278, 0.9240068032073769, 0.889464680607993, 0.9240068032073769, 0.9620035663143067, 0.9913645517054631, 0.9326425809231503, 1.0]","[0.18095269235589997, 0.0, 0.042857168807436105, 0.052381185933591645, 0.014286933949497095, 0.15238064097743337, 0.34285735045948884, 0.6428575321115416, 0.6780954872180527, 0.7133334423245636, 0.748571397431078, 0.783809352537589, 0.8190473076441, 0.31428529908102226, 0.33809443363614733, 0.6476186324143556, 0.7714290385338499, 0.9380947969402528, 1.0, 0.7047609186507612, 0.5523802776733279, 0.06190520305974718]"
"Row(start=datetime.datetime(2016, 4, 5, 20, 0), end=datetime.datetime(2016, 4, 16, 20, 0))","[0.22939333333333334, 0.22939333333333334, 0.021214285714285713, 0.02121428571428571, 0.22295714285714283, 0.22295714285714283, -0.2792, -0.2792, 0.664325, 0.664325, 0.42067499999999997, 0.42067499999999997, 0.41238461538461546, 0.41238461538461535, 0.14791666666666667, 0.14791666666666667, 0.3383333333333334, 0.3383333333333334, 0.37639230769230764, 0.37639230769230775, 0.9062, 0.9062]","[0.03355777723729182, 0.03355777723729182, 0.0, 0.6510067973220344, 0.946307556420333, 0.7919456214237254, 0.7932879325132165, 0.7946302436027077, 0.7959725546922013, 0.7973148657816925, 0.7986571768711838, 0.4093959216067794, 0.5570463011559288, 1.0, 0.9932884445525416, 0.6040271892881374, 0.5637578566033872, 0.3422816472305073, 0.2013428231288163, 0.4899333068779682, 0.40402718928813736, 0.31812107169830645]","[0.0, 0.14855876769213788, 0.10421312568750188, 0.15742814984231598, 0.37915762861175056, 0.41685165691917114, 0.4274946617501343, 0.4381376665810966, 0.44878067141205974, 0.4594236762430221, 0.47006668107398525, 0.4789356403087452, 0.6430158267636947, 0.9024389109251317, 0.8580932689204958, 0.9024389109251317, 0.9512196669202749, 0.9889136952276956, 0.9135256386128543, 1.0, 0.9365853555386482, 0.8731707110772964]","[0.07882609461844708, 0.08799220417399828, 0.05132951420843197, 0.18423373212232816, 0.36755242672007515, 0.6562787588217032, 0.6901924900489228, 0.7241062212761423, 0.7580199525033651, 0.7919336837305847, 0.8258474149578042, 0.34005409805342157, 0.36296849781398033, 0.6608609394711595, 0.7800186154366867, 0.9404211620172365, 1.0, 0.7158558485478282, 0.569201592172286, 0.09715831372954949, 0.04857915686477637, 0.0]"
"Row(start=datetime.datetime(2016, 4, 6, 20, 0), end=datetime.datetime(2016, 4, 17, 20, 0))","[0.021214285714285713, 0.02121428571428571, 0.22295714285714283, 0.22295714285714283, -0.2792, -0.2792, 0.664325, 0.664325, 0.42067499999999997, 0.42067499999999997, 0.41238461538461546, 0.41238461538461535, 0.14791666666666667, 0.14791666666666667, 0.3383333333333334, 0.3383333333333334, 0.37639230769230764, 0.37639230769230775, 0.9062, 0.9062, 0.5629500000000001, 0.5629500000000001]","[0.0, 0.6510067973220344, 0.946307556420333, 0.7919456214237254, 0.7932879325132165, 0.7946302436027077, 0.7959725546922013, 0.7973148657816925, 0.7986571768711838, 0.4093959216067794, 0.5570463011559288, 1.0, 0.9932884445525416, 0.6040271892881374, 0.5637578566033872, 0.3422816472305073, 0.2013428231288163, 0.4899333068779682, 0.40402718928813736, 0.31812107169830645, 0.23221495410847554, 0.14630883651864462]","[0.0, 0.05940589852430666, 0.30693071176697484, 0.34900994890287296, 0.36089112860773465, 0.37277230831259545, 0.38465348801745713, 0.39653466772231794, 0.4084158474271796, 0.418316594456507, 0.6014853717182619, 0.8910889499807141, 0.8415842706018489, 0.8910889499807141, 0.9455447110484141, 0.9876239481843122, 0.903465473912516, 1.0, 0.9292078883048811, 0.8584157766097622, 0.7876236649146441, 0.7168315532195252]","[0.13533856151828225, 0.25647351191766204, 0.42355850986531035, 0.6867168239286346, 0.7176273414016666, 0.7485378588746986, 0.7794483763477336, 0.8103588938207655, 0.8412694112937975, 0.398495282140973, 0.4193805085242707, 0.6908932318290407, 0.7994989585272022, 0.9456971366509193, 1.0, 0.7410180938370818, 0.6073507328552167, 0.17710901428487758, 0.13283176071365965, 0.08855450714243879, 0.04427725357122088, 0.0]"
"Row(start=datetime.datetime(2016, 4, 7, 20, 0), end=datetime.datetime(2016, 4, 18, 20, 0))","[0.22295714285714283, 0.22295714285714283, -0.2792, -0.2792, 0.664325, 0.664325, 0.42067499999999997, 0.42067499999999997, 0.41238461538461546, 0.41238461538461535, 0.14791666666666667, 0.14791666666666667, 0.3383333333333334, 0.3383333333333334, 0.37639230769230764, 0.37639230769230775, 0.9062, 0.9062, 0.5629500000000001, 0.5629500000000001, 0.18337142857142855, 0.1833714285714286]","[0.9428558972430668, 0.7785706889880709, 0.7799992915569938, 0.7814278941259165, 0.7828564966948419, 0.7842850992637648, 0.7857137018326875, 0.3714284935776917, 0.5285706889880709, 1.0, 0.9928569871553834, 0.5785717789003875, 0.5357137018326875, 0.2999997275219209, 0.15000054495615828, 0.45714328532269577, 0.36571462825815665, 0.2742859711936175, 0.18285731412907832, 0.09142865706453916, 0.0, 0.7285709614661501]","[0.0, 0.05000002804924775, 0.0641176632283903, 0.0782352984075318, 0.09235293358667435, 0.10647056876581586, 0.1205882039449584, 0.13235261943509938, 0.3500001963447342, 0.6941173434669655, 0.6352941440463509, 0.6941173434669655, 0.7588235921100832, 0.808823620159331, 0.7088235640608355, 0.8235292797682459, 0.7394116053201567, 0.6552939308720676, 0.5711762564239794, 0.4870585819758902, 0.402940907527801, 1.0]","[0.44799957275390623, 0.7, 0.7295999145507807, 0.7591998291015614, 0.7887997436523448, 0.8183996582031255, 0.8479995727539062, 0.4239990234375, 0.44399871826171877, 0.7039993286132813, 0.8080001831054687, 0.9479995727539062, 1.0, 0.7519989013671875, 0.6239990234375, 0.21199951171875, 0.16959960937500113, 0.12719970703124944, 0.08479980468750056, 0.042399902343748866, 0.0, 0.479998779296875]"
"Row(start=datetime.datetime(2016, 4, 8, 20, 0), end=datetime.datetime(2016, 4, 19, 20, 0))","[-0.2792, -0.2792, 0.664325, 0.664325, 0.42067499999999997, 0.42067499999999997, 0.41238461538461546, 0.41238461538461535, 0.14791666666666667, 0.14791666666666667, 0.3383333333333334, 0.3383333333333334, 0.37639230769230764, 0.37639230769230775, 0.9062, 0.9062, 0.5629500000000001, 0.5629500000000001, 0.18337142857142855, 0.1833714285714286, 0.4356461538461539, 0.43564615384615385]","[0.7799992915569938, 0.7814278941259165, 0.7828564966948419, 0.7842850992637648, 0.7857137018326875, 0.3714284935776917, 0.5285706889880709, 1.0, 0.9928569871553834, 0.5785717789003875, 0.5357137018326875, 0.2999997275219209, 0.15000054495615828, 0.45714328532269577, 0.36571462825815665, 0.2742859711936175, 0.18285731412907832, 0.09142865706453916, 0.0, 0.7285709614661501, 0.9357142467888458, 0.7785706889880709]","[0.0, 0.009995828616926699, 0.01999165723385414, 0.02998748585078084, 0.03998331446770828, 0.04831297304902018, 0.20241582739196542, 0.446064000979969, 0.40441491367556665, 0.446064000979969, 0.4918785133734095, 0.5272804560415583, 0.4564765707052607, 0.5376926285679285, 0.4781340802155929, 0.4185755318632573, 0.3590169835109224, 0.2994584351585868, 0.23989988680625116, 0.6626406848789785, 0.8500629679450142, 1.0]","[0.7295999145507807, 0.7591998291015614, 0.7887997436523448, 0.8183996582031255, 0.8479995727539062, 0.4239990234375, 0.44399871826171877, 0.7039993286132813, 0.8080001831054687, 0.9479995727539062, 1.0, 0.7519989013671875, 0.6239990234375, 0.21199951171875, 0.16959960937500113, 0.12719970703124944, 0.08479980468750056, 0.042399902343748866, 0.0, 0.479998779296875, 0.5080001831054688, 0.5080001831054688]"
